symbol	order_id	side	notional	status	alpaca_request	rationale	submitted_at	executed_at	filled_at	avg_price	filled_qty
BTC/USD	9beb79d0-b3cc-4999-9a68-664766b11e46	SELL	1207.76	filled	"{""qty"": 0.0160573, ""side"": ""sell"", ""symbol"": ""BTC/USD"", ""time_in_force"": ""TimeInForce.GTC"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:20 UTC	2026-04-20 13:30:20 UTC	2026-04-20 13:30:20 UTC	75150.1900	
ACI	e46baa7b-b9fb-430e-bfec-119e229f9e77	BUY	1694.99	partial_fill_canceled	"{""notional"": 1694.99, ""side"": ""buy"", ""symbol"": ""ACI"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:29 UTC	2026-04-20 13:32:58 UTC	2026-04-20 13:32:58 UTC	16.8300	77
BMO	c028af38-0617-413f-acf2-792aa7064aa8	BUY	1675.02	filled	"{""notional"": 1675.02, ""side"": ""buy"", ""symbol"": ""BMO"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:38 UTC	2026-04-20 13:32:20 UTC	2026-04-20 13:32:20 UTC	152.3300	
KO	428dc135-2fc0-4b92-90c1-3384c2f19fe0	BUY	1144.97	canceled	"{""notional"": 1144.97, ""side"": ""buy"", ""symbol"": ""KO"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:44 UTC				
JPM	4ca9dfdf-3c74-49b7-a178-25b889c86d53	BUY	1030.17	filled	"{""notional"": 1030.17, ""side"": ""buy"", ""symbol"": ""JPM"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:47 UTC	2026-04-20 13:33:36 UTC	2026-04-20 13:33:36 UTC	313.0800	
AMZN	1f25f596-bc79-480a-b813-4db02d0f7aca	BUY	1022.18	partial_fill_canceled	"{""notional"": 1022.18, ""side"": ""buy"", ""symbol"": ""AMZN"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:30:54 UTC	2026-04-20 13:32:41 UTC	2026-04-20 13:32:41 UTC	247.9200	2
MCD	496fbc7f-3e9e-41f6-b509-eb5add7a264b	BUY	991.24	filled	"{""notional"": 991.24, ""side"": ""buy"", ""symbol"": ""MCD"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:31:00 UTC	2026-04-20 13:33:02 UTC	2026-04-20 13:33:02 UTC	312.0400	
IT	9d91d921-c87b-4b3c-9802-a19db1a13af9	BUY	929.35	filled	"{""notional"": 929.35, ""side"": ""buy"", ""symbol"": ""IT"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:31:07 UTC	2026-04-20 13:32:50 UTC	2026-04-20 13:32:50 UTC	156.3200	
VIG	c783b96e-2ff9-461a-b14b-f2a0b86e3459	BUY	616.90	canceled	"{""notional"": 616.9, ""side"": ""buy"", ""symbol"": ""VIG"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:31:13 UTC				
AMRZ	1b2ca2c4-7fc8-478d-99fa-03fb7e02ffed	BUY	510.09	partial_fill_canceled	"{""notional"": 510.09, ""side"": ""buy"", ""symbol"": ""AMRZ"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:31:20 UTC	2026-04-20 13:31:59 UTC	2026-04-20 13:31:59 UTC	57.5200	5
TD	abeda6c8-43b6-47ac-a3be-235100ca0f1b	BUY	368.35	partial_fill_canceled	"{""notional"": 368.35, ""side"": ""buy"", ""symbol"": ""TD"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v50.0->Khanna copy-trade rebalance	2026-04-20 13:31:26 UTC	2026-04-20 13:32:02 UTC	2026-04-20 13:32:02 UTC	105.4800	1
KO	b7d57cc9-fb1d-4176-b056-fef44ee7d320	BUY	1070.25	filled	"{""notional"": 1070.25, ""side"": ""buy"", ""symbol"": ""KO"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:27 UTC	2026-04-21 19:14:28 UTC	2026-04-21 19:14:28 UTC	75.1665	14.23839298
VIG	992ddf7a-52b8-476b-aaf2-768843aeb869	BUY	617.14	filled	"{""notional"": 617.14, ""side"": ""buy"", ""symbol"": ""VIG"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:27 UTC	2026-04-21 19:14:27 UTC	2026-04-21 19:14:27 UTC	226.8300	2.72071595
AMZN	6a9ebe58-ef5d-4fd0-97d2-cfc23df9ccd7	BUY	519.26	filled	"{""notional"": 519.26, ""side"": ""buy"", ""symbol"": ""AMZN"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:27 UTC	2026-04-21 19:14:28 UTC	2026-04-21 19:14:28 UTC	251.7500	2.06260179
ACI	30667f4e-03d7-40ed-8f5d-c8d05c4056d0	BUY	382.02	filled	"{""notional"": 382.02, ""side"": ""buy"", ""symbol"": ""ACI"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:27 UTC	2026-04-21 19:14:28 UTC	2026-04-21 19:14:28 UTC	17.0600	22.39273153
TD	1da29d39-4e54-4797-a65c-ecfc8a065005	BUY	262.69	filled	"{""notional"": 262.69, ""side"": ""buy"", ""symbol"": ""TD"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:28 UTC	2026-04-21 19:14:28 UTC	2026-04-21 19:14:28 UTC	105.8400	2.48195389
AMRZ	c87148ee-4bb8-4b96-8c59-0bbf742537b5	BUY	224.54	filled	"{""notional"": 224.54, ""side"": ""buy"", ""symbol"": ""AMRZ"", ""time_in_force"": ""TimeInForce.DAY"", ""type"": ""market""}"	BOT v51.4->Khanna copy-trade rebalance [attempt 2/5]	2026-04-21 19:14:28 UTC	2026-04-21 19:14:29 UTC	2026-04-21 19:14:29 UTC	57.1900	3.92621088
